0	1.0
1	0.9941948949324554
2	0.9883606184826622
3	0.9824969502119627
4	0.9766036674550482
5	0.970680545291769
6	0.9647273565185243
7	0.9587438716192068
8	0.9527298587357094
9	0.9466850836379739
10	0.9406093096935837
11	0.9345022978368824
12	0.9283638065376215
13	0.9221935917691132
14	0.915991406975898
15	0.9097570030408996
16	0.9034901282520733
17	0.897190528268527
18	0.8908579460861143
19	0.8844921220024813
20	0.8780927935815664
21	0.8716596956175326
22	0.8651925600981341
23	0.8586911161674918
24	0.8521550900882823
25	0.8455842052033171
26	0.8389781818965072
27	0.8323367375531998
28	0.8256595865198743
29	0.8189464400631887
30	0.8121970063283588
31	0.8054109902968632
32	0.7985880937434573
33	0.791728015192485
34	0.7848304498734748
35	0.7778950896760042
36	0.7709216231038221
37	0.7639097352282123
38	0.7568591076405822
39	0.7497694184042674
40	0.7426403420055286
41	0.7354715493037328
42	0.728262707480698
43	0.7210134799891866
44	0.7137235265005321
45	0.7063925028513777
46	0.6990200609895166
47	0.6916058489188064
48	0.6841495106431488
49	0.6766506861095103
50	0.6691090111499656
51	0.661524117422744
52	0.6538956323522627
53	0.6462231790681187
54	0.638506376343026
55	0.6307448385296714
56	0.6229381754964725
57	0.6150859925622046
58	0.6071878904294914
59	0.5992434651171137
60	0.5912523078911339
61	0.5832140051947943
62	0.5751281385771747
63	0.5669942846205779
64	0.5588120148666207
65	0.550580895740998
66	0.5423004884768983
67	0.5339703490370384
68	0.5255900280342878
69	0.517159070650856
70	0.5086770165560093
71	0.5001433998222883
72	0.4915577488401908
73	0.48291958623129166
74	0.47422842875976123
75	0.465483787242252
76	0.4566851664561161
77	0.44783206504591766
78	0.4389239754282024
79	0.42996038369448875
80	0.4209407695124396
81	0.4118646060251737
82	0.4027313597486798
83	0.39354049046728684
84	0.384291451127151
85	0.3749836877277125
86	0.3656166392110804
87	0.35618973734929377
88	0.3467024066294191
89	0.337154064136426
90	0.3275441194338009
91	0.31787197444183823
92	0.3081370233135642
93	0.29833865230823287
94	0.28847623966234415
95	0.2785491554581215
96	0.2685567614893975
97	0.2584984111248402
98	0.24837344916846463
99	0.23818121171736237
100	0.22792102601658612
101	0.2198531892449897
102	0.21173120591787928
103	0.2035545291003505
104	0.1953226044664871
105	0.18703487017408899
106	0.17869075673684476
107	0.17028968689388546
108	0.16183107547665934
109	0.15331432927306043
110	0.14473884688874725
111	0.13610401860558052
112	0.127409226237114
113	0.11865384298106245
114	0.10983723326867494
115	0.10095875261093717
116	0.09201774744152527
117	0.08301355495642844
118	0.07394550295016086
119	0.06481290964847487
120	0.05561508353749126
121	0.046351323189152804
122	0.037020917082912524
123	0.02762314342355869
124	0.018157269955079183
125	0.008622553770465306
126	-0.000981758882649538
127	-0.010656432800622229
